25429477	0	43121	156115
25430805	1	43083	156149
25401625	3	52351	145625
25425555	5	46921	151257
25425038	6	42153	156996
25423420	7	46100	151274
25430807	9	43755	156889
25401628	12	54608	154320
25401628	14	43757	155290
25401625	15	54855	149957
25401617	18	55835	143477
25423423	19	46262	151271
25401617	22	44506	154225
25422261	23	46060	151276
25401628	24	39580	160187
25426649	25	46382	151269
25427899	27	45980	151277
25421675	30	43914	155220
25401612	36	44919	153326
25421480	37	46200	151272
25428125	38	46120	151274
25425379	39	51519	163078
25401625	41	50225	163285
25423891	43	45200	151294
25418503	44	57626	155703
25426055	45	46000	151277
25421432	46	46542	151265
25401929	48	44277	155435
25426742	49	46200	151272
25401629	50	45187	156468
25427612	51	46000	151277
25421543	53	57578	155867
25419183	54	50225	163271
25401613	55	52886	145471
25427628	56	46160	151273
25427891	57	48244	158791
25401606	60	47008	160420
25424792	65	45938	151648
25424181	69	45041	153120
25425647	71	43103	156132
25423274	72	52825	145473
25424157	78	43121	156115
25423807	79	56397	142723
25419538	80	52825	145473
25420723	82	45900	151279
25424687	84	45937	151628
25420671	85	55803	155960
25401620	86	32704	176890
25401613	87	39328	166137
25422452	88	46402	151268
25418014	91	46140	151274
25401610	92	37055	167476
25423767	94	43091	156142
25401614	95	44046	154802
25401617	96	44137	154648
25428300	97	45936	151568
25424823	98	57578	155867
25418907	99	46342	151269
25424912	100	52805	145474
25420923	101	46200	151272
25428026	102	43302	154794
25419664	103	45960	151278
25420717	104	56630	142449
25426459	105	45980	151277
25424682	106	45720	151283
25420889	107	46781	151260
25401629	108	57608	155749
25420138	109	46080	151275
25423781	200	74949	107204
25424475	201	50753	47456
25401606	202	72068	108920
25422961	203	71901	110686
25419378	204	68474	31455
25418419	205	74742	107440
25423160	207	77281	179493
25425367	208	50059	143712
25426534	209	131438	201026
25424733	210	48136	196268
25424875	211	39797	205299
25424725	213	80648	209801
25424311	214	105618	189837
25420937	216	80785	209961
25421250	217	90743	207816
25416914	218	93302	161666
25425751	219	72010	130163
25419137	220	80510	210049
25425476	221	83925	141061
25421677	223	66392	209663
25422983	224	80377	210059
25424510	226	80540	144118
25423958	227	66578	209816
25424220	228	94424	162436
25425116	229	90743	207865
25424991	230	77732	155522
25425205	231	78150	157994
25425800	232	66559	209089
25425873	234	93310	162066
25424309	236	90701	207808
25426047	237	105272	189330
25427742	238	42548	104078
25426455	239	80065	210380
25426313	240	85435	130258
25426008	241	47172	189132
25427807	242	47172	189132
25423675	243	31626	214526
25425303	244	31637	214429
25429760	248	47172	189132
25425647	251	57968	207616
25426236	252	86663	158951
25427317	253	66603	209707
25427729	254	94642	163705
25428002	255	105413	189594
25423748	259	71682	194415
25424331	261	74949	107344
25421721	262	88275	93807
25425850	265	45382	81170
25420603	266	74658	107614
25420950	267	68476	31536
25422816	268	31059	137835
25427851	272	50976	46804
25427029	273	65479	73200
25417954	274	99210	62406
25427730	275	50761	47173
25426946	276	37750	36386
25423677	277	50581	47011
25424607	278	68474	31316
25427046	279	50578	47011
25424894	280	69496	43134
25401630	282	69496	43768
25422113	283	45646	81509
25420898	284	81430	116800
25424412	285	76663	37501
25420071	287	45601	81398
25416696	288	81514	116575
25418644	289	45556	81287
25423316	290	88080	94419
25421798	293	99416	62596
25426754	294	67793	43196
25422701	1400	95276	62674
25421148	1401	42537	199908
25420441	1402	47442	180222
25401702	1403	34001	137771
25419359	1404	61521	115717
25425628	1405	38855	190373
25418443	1406	41138	100499
25426748	1407	41726	100482
25425745	1409	32156	185399
25425660	1411	47177	188629
25426773	1412	51718	63103
25430693	1413	51933	63095
25422293	1414	39154	120992
25422887	1415	66968	49829
25425209	1416	45277	38116
25425559	1417	66392	209766
25429384	1418	39161	121512
25401638	1419	30840	185643
25424944	1421	68654	49456
25401625	1422	43557	155628
25401611	1423	50237	172892
25422646	1424	51102	73713
25421380	1425	29879	128752
25424949	1427	39797	205379
25401618	1428	40154	189476
25428392	1429	40138	188207
25426855	1430	40132	187847
25428098	1431	30115	129431
25421133	1432	32161	185635
25425222	1434	39797	205517
25425660	1435	30264	122977
25422447	1436	39156	121124
25424305	1438	39708	205548
25419234	1439	39147	118641
25402130	1441	54053	179061
25420062	1442	39447	205509
25428987	1443	68842	49688
25417857	1444	32144	184861
25423877	1445	116612	124878
25428405	1446	35436	141042
25423281	1449	61448	122542
25427730	1450	34673	171312
25421895	1451	30344	122958
25420897	1452	39143	118361
25401600	1454	35222	188825
25421510	1455	49573	174525
25401621	1456	55995	184288
25401609	1457	34798	184848
25428218	1458	60362	123315
25421181	1459	25631	144297
25420575	1461	33552	121163
25428481	1462	64652	71439
25422725	1463	36122	115190
25418439	1464	33522	121581
25429097	1465	89430	110075
25401617	1466	40304	198644
25423144	1467	51995	63651
25418782	1468	39748	205548
25424709	1469	48222	199855
25424032	1470	30461	122930
25426934	1471	63532	117745
25422046	1474	32146	184955
25427233	1476	58669	165565
25422501	1477	33977	136851
25426218	1478	84556	196165
25421813	1480	33531	121460
25403656	1481	33633	124701
25422383	1482	39797	205439
25428890	1483	30173	129602
25401606	1484	40488	170581
25429217	1485	96127	180262
25427827	1486	51760	63659
25421759	1487	85829	106626
25419077	1489	131425	200616
25426859	1490	89490	110073
25424017	1491	67720	49504
25428883	1493	131515	201519
25424466	1494	131509	201480
25423015	1495	168165	127312
25427830	1496	84792	203186
25426033	1497	83839	160840
25426867	1498	39447	205349
25420044	1499	63712	117740
25421311	1501	44099	215150
25423973	1502	43542	215159
25424546	1503	49886	73614
25401615	1504	58685	166178
25401619	1507	29466	176556
25422392	1508	55726	230109
25401601	1509	56003	179100
25424832	1510	43001	215167
25425016	1511	38642	195364
25425448	1513	53834	179065
25423402	1514	42965	213692
25426930	1515	64296	183120
25422002	1516	44042	215151
25419510	1518	42960	212952
25425044	1519	43022	215166
25428404	1520	50799	192920
25426157	1523	44080	215150
25426053	1524	49148	183155
25401607	1526	46019	152732
25421337	1527	90742	207941
25422973	1528	131418	200501
25426448	1529	56063	189025
25421081	1530	43118	173905
25425382	1531	42247	200144
25424890	1532	89430	110075
25424389	1533	63838	183201
25426043	1535	56451	230079
25426152	1536	52456	171115
25401601	1537	74065	206680
25427345	1538	43197	215164
25425954	1539	42977	215152
25422740	1541	42972	214592
25421681	1542	41478	100489
25421256	1543	178931	110972
25427612	1544	53453	179072
25424546	1545	179025	110490
25420220	1546	44082	215150
25426112	1548	90743	207861
25423809	1549	52853	179083
25418175	1550	63652	117741
25422461	1551	42914	200269
25402511	1552	39758	205548
25423605	1553	39447	205469
25424078	1554	46286	115542
25421144	1555	41018	100499
25422292	1556	74949	107184
25419582	1557	61265	123295
25401601	1559	49359	146213
25424303	1560	51710	63221
25420406	1561	44668	157260
25423476	1563	40382	203642
25420899	1564	31747	148285
25425204	1565	41098	100501
25427625	1566	93614	141988
25419405	1567	42331	156398
25401612	1568	55669	108998
25422906	1569	50591	175157
25401610	1570	50761	188945
25423807	1571	39153	120892
25426497	1572	117750	127565
25423410	1573	43901	153781
25422393	1574	116612	124878
25418074	1576	59975	123324
25419605	1577	50649	47520
25424021	1578	96721	178674
25401605	1579	68839	49489
25422701	1580	104108	172679
25421848	1581	89630	110068
25426760	1582	37461	184811
25424159	1583	44756	153602
25424560	1585	51117	200337
25421556	1586	45607	211569
25427508	1587	56072	188485
25420076	1589	81516	202069
25401601	1591	50064	172002
25421807	1592	131531	201618
25401630	1594	43901	215154
25401630	1596	39767	123541
25426039	1597	111248	129973
25425719	1598	64245	183094
25426954	1600	68769	43277
25421148	1601	60932	123302
25401615	1602	44016	156241
25416852	1604	50952	46810
25421294	1606	44614	157201
25420880	1607	74949	107363
25401608	1608	49158	63512
25424635	1609	37432	183470
25422651	1610	33265	137621
25419685	1611	36115	114982
25427152	1612	59941	123324
25424027	1613	47832	188504
25424242	1615	54970	128994
25429098	1617	43187	174020
25401609	1618	62074	115265
25420503	1619	25814	171614
25423091	1622	58683	166096
25420501	1623	84921	72554
25423475	1625	41078	100501
25401606	1627	48201	53160
25422165	1631	61315	115725
25420589	1632	55786	230102
25422558	1633	68744	42778
25401609	1635	45347	38116
25422703	1636	49986	73612
25424828	1637	60717	110191
25423449	1638	53687	141606
25427821	1640	48568	183175
25401610	1641	45635	152750
25426309	1642	31626	214526
25419987	1643	68661	49354
25419230	1644	50825	73586
25426039	1646	95281	63294
25418292	1647	50952	46810
25401622	1648	69489	46205
25419302	1650	84921	73123
25402235	1651	45738	142558
25421260	1653	50641	177356
25425294	1654	65439	72144
25416902	1655	68661	49354
25421303	1656	42464	156277
25421342	1657	50798	46922
25420690	1658	50386	73602
25419210	1659	74999	107137
25401613	1660	42668	156961
25401617	1661	78850	208970
25425974	1662	33103	176418
25420039	1663	127255	5636
25421047	1664	69236	44691
25419739	1665	95273	62406
25401612	1666	55026	102589
25428287	1667	54193	179058
25417513	1668	45257	38117
25426748	1669	48384	181595
25422761	1670	84921	73123
25401601	1671	42838	194024
25401619	1672	64802	102211
25420876	1673	69480	44695
25429283	2121	41178	100498
