1004738403 1004774399 7645 30476 30484 57812
1004738403	930	14346	46102
1004738403	1100	9613	44194
1004738403	3044	7867	52302
1004738403	3071	17141	42006
1004738403	3122	17885	50577
1004738403	3126	14417	54782
1004738403	3128	13633	56028
1004738403	3151	17330	39558
1004738403	3157	12820	31613
1004738403	3200	21955	48333
1004738403	3203	23978	48156
1004738403	3205	22381	31849
1004738403	3208	23022	49474
1004738403	3209	29160	47828
1004738403	3227	18652	35275
1004738403	3235	9393	56362
1004738403	3247	11933	36223
1004738403	3249	10215	37094
1004738403	3250	9651	38333
1004738403	3287	22379	31831
1004738403	3305	18561	35278
1004738403	3313	12983	33380
1004738403	3336	13323	30616
1004738403	3341	9418	49884
1004738403	3345	25621	42892
1004738403	3348	23023	49499
1004738403	3352	25627	42892
1004738403	3402	12965	47605
1004738403	3405	9804	56618
1004738403	3407	11009	35085
1004738403	3413	13025	47559
1004738403	3432	14121	30832
1004738403	3435	7967	53434
1004738403	3451	14404	53748
1004738403	3471	29948	56910
1004738403	3533	9431	42169
1004738403	3541	24012	54523
1004738403	3543	23023	49535
1004738403	3549	13499	46673
1004738403	3556	10599	53762
1004738403	3561	10618	56883
1004738403	3575	11932	36146
1004738403	3576	7806	43842
1004738403	3588	13496	46678
1004738403	4002	14101	46107
1004738403	4004	14753	48399
1004738403	4005	17424	41101
1004738403	4007	14716	49148
1004738403	4008	14759	48399
1004738403	4016	14253	46104
1004738403	4017	14143	46106
1004738403	4018	14649	47995
1004738403	4019	14715	49108
1004738403	4021	14192	46105
1004738403	4025	15266	48411
1004738403	4029	14057	46108
1004738403	4033	15929	51233
1004738403	4038	14168	46106
1004738403	4040	14653	48400
1004738403	4041	14131	46107
1004738403	4042	14101	46107
1004738403	4044	14723	48399
1004738403	4045	14650	48129
1004738403	9076	24256	47737
1004738403	9083	16267	30492
1004738428	930	14346	46102
1004738428	4005	17323	41239
1004738429	1100	9613	44194
1004738429	3341	9580	49981
1004738429	3556	10597	53671
1004738430	3209	28989	47833
1004738430	4033	15930	51306
1004738434	3451	14404	53748
1004738451	4005	17320	41244
1004738452	930	14346	46102
1004738453	1100	9627	44138
1004738453	3341	9891	50004
1004738453	3556	10583	53374
1004738454	4033	15935	51458
1004738455	3209	28928	47834
1004738458	3451	14395	53449
1004738476	4005	17225	41419
1004738477	930	14346	46102
1004738478	1100	9617	43913
1004738478	3341	10184	49999
1004738478	4033	15895	51645
1004738479	3209	28745	47838
1004738482	3451	14413	54088
1004738500	4005	17211	41466
1004738501	930	14346	46102
1004738502	3341	10421	49995
1004738503	1100	9605	43669
1004738503	3209	28727	47839
1004738513	3451	14405	53826
1004738526	930	14285	46103
1004738526	4005	17161	41603
1004738527	3341	10531	49967
1004738528	4033	15689	51806
1004738532	1100	9672	43574
1004738532	3209	28641	47840
1004738532	3451	14337	52819
1004738550	4005	17158	41609
1004738551	930	14090	46108
1004738552	3341	10652	49745
1004738553	1100	10047	43563
1004738553	3209	28306	47847
1004738553	4033	15568	51900
1004738558	3451	14333	52655
1004738575	4005	17052	41821
1004738576	930	14054	46108
1004738576	3341	10857	49496
1004738577	4033	15377	52128
1004738578	1100	10249	43523
1004738578	3209	27975	47873
1004738581	3451	14332	52642
1004738600	4005	16994	42133
1004738602	930	14001	46165
1004738602	3209	27960	47879
1004738602	3341	10912	49430
1004738602	4033	15380	52210
1004738604	1100	10245	43377
1004738606	3451	14331	52612
1004738626	4005	16974	42259
1004738627	930	14001	46195
1004738627	3341	11040	49283
1004738628	3209	27871	47890
1004738628	4033	15384	52338
1004738629	1100	10239	43145
1004738631	3451	14289	52588
1004738651	4005	16965	42313
1004738652	930	14002	46238
1004738652	3341	11230	49068
1004738653	3209	27603	47881
1004738653	4033	15387	52417
1004738654	1100	10332	43067
1004738656	3451	14269	52370
1004738677	3341	11395	48865
1004738677	4005	16905	42611
1004738678	930	14003	46269
1004738678	3209	27402	47880
1004738678	4033	15397	52691
1004738680	1100	10393	42971
1004738681	3451	14104	52375
1004738701	4005	16869	42688
1004738704	930	14003	46275
1004738704	3209	27085	47885
1004738704	3341	11596	48604
1004738704	4033	15284	52988
1004738706	1100	10385	42745
1004738707	3451	14062	52377
1004738727	4005	16843	42743
1004738729	3341	11671	48524
1004738730	3209	27012	47887
1004738730	4033	15180	52991
1004738731	930	13974	46338
1004738732	1100	10375	42490
1004738733	3451	13916	52381
1004738753	4005	16665	42951
1004738755	3341	11806	48401
1004738756	3209	26982	47887
1004738756	4033	15095	52993
1004738757	930	13938	46370
1004738758	1100	10372	42343
1004738758	3451	13775	52387
1004738778	4005	16538	43208
1004738780	3341	12020	48307
1004738781	3209	26823	47879
1004738781	4033	14973	52997
1004738783	930	13855	46457
1004738784	1100	10372	42343
1004738784	3451	13642	52394
1004738803	4005	16498	43290
1004738806	3341	12222	48289
1004738807	3209	26580	47894
1004738807	4033	14784	53001
1004738809	930	13830	46499
1004738809	3451	13572	52311
1004738829	4005	16449	43388
1004738831	3341	12304	48215
1004738832	3209	26196	47906
1004738832	4033	14595	53007
1004738838	930	13827	46505
1004738838	1100	10372	42319
1004738838	3451	13568	52207
1004738855	4005	16374	43542
1004738857	3341	12331	48190
1004738858	3209	26025	47904
1004738858	4033	14583	53008
1004738861	3451	13565	52073
1004738862	930	13756	46625
1004738864	1100	10368	42136
1004738881	4005	16387	43515
1004738883	3341	12362	48162
1004738884	3209	25831	47912
1004738884	4033	14547	53009
1004738886	3451	13557	51781
1004738889	930	13756	46625
1004738891	1100	10326	41942
1004738906	4005	16237	43820
1004738908	3341	12489	48047
1004738909	3209	25666	47912
1004738909	4033	14248	53017
1004738913	3451	13339	51684
1004738917	930	13746	46641
1004738918	1100	10139	41947
1004738932	4005	16188	43919
1004738934	3341	12543	47997
